Clinic Name,Clinic Street Address,City,State,Postcode,Phone Number,Fax Number,Website address,Staff Names
DB Dental Baldivis,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Kathy Yu', 'Dr Manoj Pallegedara', 'Dr Pak Poon', 'Dr Jennifer Udeen', 'Dr Meera Amin', 'Dr Ailsa Malone', 'Dr Kiranbir Kaur', 'Dr Subha Karunanayaka', 'Dr Jonathan Lee', 'Dr Shanash Bishnulall', 'Dr Shona Smith']"
Southern Dental Care Smile by Design Mandurah,Southern Specialist Centre,Greenfields,WA,6210,895815344,895815305,http://www.southerndentalcare.com.au,['Dr Daniel Chan']
Phoenix Road Dental Surgery,Unit 4 / 223 Rockingham Road,Spearwood,WA,6163,894341235,Not Available,http://www.phoenixroaddental.com.au,"['Dr Michael Fong', 'Dr Sarah Chong', 'Dr Kathryn Fong']"
Scarborough Beach Dental Clinic,44 Scarborough Beach Road,Scarborough,WA,6019,893417898,434775129,http://www.scarboroughdental.com.au/,"['Dr Cheryl Tan', 'Dr Raphaela Varajao', 'Dr Crystal Lau', 'Dr Josephine Drewett']"
Council Avenue Dental & Implant Centre,Unit 4 / 31 Council Avenue,Rockingham,WA,6168,895922210,895286026,http://www.councilavenuedental.com.au,"['Dr Eu Guan Koh', 'Dr James Wong', 'Dr Alex Ong']"
DB Dental Melville,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Nilesh Jadav', 'Dr Nicholas Morton', 'Dr Susmita Pachipala', 'Dr Paul Haswell', 'Dr Alex Poli', 'Dr Jake Stanley']"
DB Dental Mandurah,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Marek Deptula', 'Dr Jason Law', 'Dr Steve Common', 'Dr Tom Peacock', 'Dr Kiranbir Kaur', 'Dr Subha Karunanayaka', 'Dr Greg Herbert', 'Dr Ananth Kadekodi', 'Dr Neeharika Boorada', 'Dr Adam Russell']"
DB Dental Joondalup,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Caroline Kowalski Cruden', 'Dr Sarah Chia', 'Dr Thao Truong', 'Dr Maki Kidokoro', 'Dr Billy Kim', 'Dr Jonathan Lee', 'Dr Hemesh Shelat', 'Dr Robert Tyrrell', 'Dr Gurpreet Virdee', 'Dr Suhail Wardak', 'Dr Kalen White']"
DB Dental Craigie,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Esther McCorry', 'Dr Jeremy Booth', 'Dr Roslind George', 'Dr Prashil Parekh', 'Dr Suhail Wardak', 'Dr John Graham']"
DB Dental Claremont,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Lisa Tong', 'Dr Rohit Chaturvedi', 'Dr Robert Tyrrell', 'Dr Daniel Bontempo', 'Dr Brendtha Nandakumar']"
DB Dental Baldivis,not available,not available,not available,not available,not available,not available,http://www.dbdental.com.au,"['Dr Kathy Yu', 'Dr Manoj Pallegedara', 'Dr Pak Poon', 'Dr Jennifer Udeen', 'Dr Meera Amin', 'Dr Ailsa Malone', 'Dr Kiranbir Kaur', 'Dr Subha Karunanayaka', 'Dr Jonathan Lee', 'Dr Shanash Bishnulall', 'Dr Shona Smith']"
Southern Dental Care Smile by Design Mandurah,Southern Specialist Centre,Greenfields,WA,6210,895815344,895815305,http://www.southerndentalcare.com.au,['Dr Daniel Chan']
Phoenix Road Dental Surgery,Unit 4 / 223 Rockingham Road,Spearwood,WA,6163,894341235,Not Available,http://www.phoenixroaddental.com.au,"['Dr Michael Fong', 'Dr Sarah Chong', 'Dr Kathryn Fong']"
Scarborough Beach Dental Clinic,44 Scarborough Beach Road,Scarborough,WA,6019,893417898,434775129,http://www.scarboroughdental.com.au/,"['Dr Cheryl Tan', 'Dr Raphaela Varajao', 'Dr Crystal Lau', 'Dr Josephine Drewett']"
Council Avenue Dental & Implant Centre,Unit 4 / 31 Council Avenue,Rockingham,WA,6168,895922210,895286026,http://www.councilavenuedental.com.au,"['Dr Eu Guan Koh', 'Dr James Wong', 'Dr Alex Ong']"
Mindarie Quinns Dental Centre,Suite 3 / 10 Cnr Quinns Road & Mindarie Drive,Rocks,WA,6030,893059990,Not Available,https://www.mindariequinnsdental.com.au,"['Dr Lubinka Mihailova', 'Dr Ashkan Master', 'Dr Zaheer Kadwa', 'Dr Kent Tan']"
Pinjarra Dental,3 / 29 Murray Street,Pinjarra,WA,6208,895311660,Not Available,http://www.pinjarradental.com.au,"['Dr Anjali Saini', 'Dr Christopher Bucktin']"
TLC Dental Chisham Avenue,33 Meares Avenue,Parmelia,WA,6167,894191988,894192910,http://www.tlc-dental.com.au,"['Dr Anthony Giummarra', 'Dr James Monk']"
TLC Dental Mandurah North,137 Mandurah Terrace,Mandurah,WA,6210,08 9535 1735,08 9535 1401,http://www.tlc-dental.com.au,"['Dr Simeon Hunter', 'Dr Anchalee Jennings-Lowe', 'Dr Ellen Longman', 'Dr Charles Love', 'Dr Natasha Mahiepala', 'Dr Emily Milligan']"
Hillarys Beach Dental Centre,Hillarys Shopping Centre,Hillarys,WA,6025,894036400,894036500,http://www.hillarysbeachdental.com.au,"['Dr Stephen Hollander', 'Dr Andrew Heap', 'Dr Unna Chidambaram', 'Dr Deanne Annastasas', 'Dr Rafaela Rogers', 'Dr Michael Fong']"
Western Dental Fremantle,Ground Floor / 15 Adelaide Street,Fremantle,WA,6160,893359166,894304517,http://westerndental.net.au,"['Dr Borut Klopcic', 'Dr Suzanne Nguyen', 'Dr John Payne']"
Eaton Dental Centre,4 Cassowary Bend,Eaton,WA,6232,897250844,Not Available,https://www.eatondental.com.au,"['Dr Ramaprasad Natarajan', 'Dr Julian Painter']"
Duncraig Dental Care,Duncraig Shopping Centre,Duncraig,WA,6023,894483111,892431890,https://duncraigdentalcare.com.au,['Dr Haytham Barr']
Doubleview Dental Clinic,184 Scarborough Beach Rd,Doubleview,WA,6018,894461344,892442262,http://www.dentistperth.com,"['Dr Tim Clair', 'Dr Michael Khoury', 'Dr Jason La', 'Dr Jessica Quach', 'Dr John Moran']"
Dalkeith Dental,Suite 16 / 81 Waratah Avenue,Dalkeith,WA,6009,893863437,Not Available,https://www.dalkeithdental.com.au,"['Dr Jeremy Gray', 'Dr Ian Barcham']"
Mindarie Quinns Dental Centre,Suite 3 / 10 Cnr Quinns Road & Mindarie Drive,Rocks,WA,6030,893059990,Not Available,https://www.mindariequinnsdental.com.au,"['Dr Lubinka Mihailova', 'Dr Ashkan Master', 'Dr Zaheer Kadwa', 'Dr Kent Tan']"
Pinjarra Dental,3 / 29 Murray Street,Pinjarra,WA,6208,895311660,Not Available,http://www.pinjarradental.com.au,"['Dr Anjali Saini', 'Dr Christopher Bucktin']"
TLC Dental Chisham Avenue,33 Meares Avenue,Parmelia,WA,6167,894191988,894192910,http://www.tlc-dental.com.au,"['Dr Anthony Giummarra', 'Dr James Monk']"
TLC Dental Mandurah North,137 Mandurah Terrace,Mandurah,WA,6210,08 9535 1735,08 9535 1401,http://www.tlc-dental.com.au,"['Dr Simeon Hunter', 'Dr Anchalee Jennings-Lowe', 'Dr Ellen Longman', 'Dr Charles Love', 'Dr Natasha Mahiepala', 'Dr Emily Milligan']"
Hillarys Beach Dental Centre,Hillarys Shopping Centre,Hillarys,WA,6025,894036400,894036500,http://www.hillarysbeachdental.com.au,"['Dr Stephen Hollander', 'Dr Andrew Heap', 'Dr Unna Chidambaram', 'Dr Deanne Annastasas', 'Dr Rafaela Rogers', 'Dr Michael Fong']"
Western Dental Fremantle,Ground Floor / 15 Adelaide Street,Fremantle,WA,6160,893359166,894304517,http://westerndental.net.au,"['Dr Borut Klopcic', 'Dr Suzanne Nguyen', 'Dr John Payne']"
Eaton Dental Centre,4 Cassowary Bend,Eaton,WA,6232,897250844,Not Available,https://www.eatondental.com.au,"['Dr Ramaprasad Natarajan', 'Dr Julian Painter']"
Duncraig Dental Care,Duncraig Shopping Centre,Duncraig,WA,6023,894483111,892431890,https://duncraigdentalcare.com.au,['Dr Haytham Barr']
Doubleview Dental Clinic,184 Scarborough Beach Rd,Doubleview,WA,6018,894461344,892442262,http://www.dentistperth.com,"['Dr Tim Clair', 'Dr Michael Khoury', 'Dr Jason La', 'Dr Jessica Quach', 'Dr John Moran']"
Dalkeith Dental,Suite 16 / 81 Waratah Avenue,Dalkeith,WA,6009,893863437,Not Available,https://www.dalkeithdental.com.au,"['Dr Jeremy Gray', 'Dr Ian Barcham']"
Cottesloe Dental,478 Stirling Highway,Cottesloe,WA,6011,893841644,893841617,http://www.cottesloedental.com.au,"['Dr Luke Rodman', ""Dr Colin O'Brien"", 'Dr Charles Cardoso', 'Dr Phillip Keenan', 'Dr Joshua Graieg', 'Dr Mo Haggag', 'Dr Ellie Amiri']"
Connolly Dental,Connolly Shopping Centre,Connolly,WA,6027,893001122,Not Available,https://www.connollydental.com.au,"['Dr Eva Kierath', 'Dr Meike Stewart']"
Clarkson North Dental Care,Commercial Centre,Clarkson,WA,6030,893046624,893046515,https://www.clarksonnorthdentalcare.com/,"['Dr Julie Heyes', 'Dr Diana Simmons', 'Dr Keith Sutton', 'Dr Ying Tan']"
Keys Dental,Unit 16 / 61 Key Largo Drive,Clarkson,WA,6030,894077088,Not Available,https://www.keysdental.com.au/,"['Dr Sam Eldiry', 'Dr Rosalie Harrington', 'Dr Senthil Nathan', 'Dr Reza Shah Mansouri', 'Dr Ananth Kadekodi', 'Dr Linh Truong']"
Bayview Dental Claremont,1 / 324 Stirling Hwy,Claremont,WA,6010,892842995,892844986,http://www.bayviewdental.com.au,"['Dr Akhil Chandra', 'Dr Parsa Partovi']"
Ashton Avenue Dental,2 Ashton Avenue,Claremont,WA,6010,893856677,893855530,http://www.ashtonavenuedental.com.au,"['Dr Nishant Vaishnav', 'Dr Harshada Vaishnav']"
Doyles Dental,33 Spencer Street,Bunbury,WA,6230,897212045,897914362,http://www.mybunburydentist.com.au,['Dr Jigisha Shah']
The Tooth Clinic,261 South St,Beaconsfield,WA,6162,894309288,Not Available,http://www.toothclinic.com.au,"['Dr Adeline Teh', 'Dr Lani Aulsebrook']"
Superior Smiles,78 Stirling Hwy,Fremantle,WA,6159,892546510,Not Available,http://www.superiorsmiles.com.au,"['Dr Isaac Seguya', 'Dr Beth Davis', 'Dr Syed Fasial', 'Dr Rani Gopal']"
SKG Radiology Bunbury,55 Spencer Street,Bunbury,WA,6230,897223200,897215385,http://www.skg.com.au,not available
Cottesloe Dental,478 Stirling Highway,Cottesloe,WA,6011,893841644,893841617,http://www.cottesloedental.com.au,"['Dr Luke Rodman', ""Dr Colin O'Brien"", 'Dr Charles Cardoso', 'Dr Phillip Keenan', 'Dr Joshua Graieg', 'Dr Mo Haggag', 'Dr Ellie Amiri']"
Connolly Dental,Connolly Shopping Centre,Connolly,WA,6027,893001122,Not Available,https://www.connollydental.com.au,"['Dr Eva Kierath', 'Dr Meike Stewart']"
Clarkson North Dental Care,Commercial Centre,Clarkson,WA,6030,893046624,893046515,https://www.clarksonnorthdentalcare.com/,"['Dr Julie Heyes', 'Dr Diana Simmons', 'Dr Keith Sutton', 'Dr Ying Tan']"
Keys Dental,Unit 16 / 61 Key Largo Drive,Clarkson,WA,6030,894077088,Not Available,https://www.keysdental.com.au/,"['Dr Sam Eldiry', 'Dr Rosalie Harrington', 'Dr Senthil Nathan', 'Dr Reza Shah Mansouri', 'Dr Ananth Kadekodi', 'Dr Linh Truong']"
Bayview Dental Claremont,1 / 324 Stirling Hwy,Claremont,WA,6010,892842995,892844986,http://www.bayviewdental.com.au,"['Dr Akhil Chandra', 'Dr Parsa Partovi']"
Ashton Avenue Dental,2 Ashton Avenue,Claremont,WA,6010,893856677,893855530,http://www.ashtonavenuedental.com.au,"['Dr Nishant Vaishnav', 'Dr Harshada Vaishnav']"
Doyles Dental,33 Spencer Street,Bunbury,WA,6230,897212045,897914362,http://www.mybunburydentist.com.au,['Dr Jigisha Shah']
The Tooth Clinic,261 South St,Beaconsfield,WA,6162,894309288,Not Available,http://www.toothclinic.com.au,"['Dr Adeline Teh', 'Dr Lani Aulsebrook']"
Superior Smiles,78 Stirling Hwy,Fremantle,WA,6159,892546510,Not Available,http://www.superiorsmiles.com.au,"['Dr Isaac Seguya', 'Dr Beth Davis', 'Dr Syed Fasial', 'Dr Rani Gopal']"
SKG Radiology Bunbury,55 Spencer Street,Bunbury,WA,6230,897223200,897215385,http://www.skg.com.au,not available
Cottesloe Dental,478 Stirling Highway,Cottesloe,WA,6011,893841644,893841617,http://www.cottesloedental.com.au,"['Dr Luke Rodman', ""Dr Colin O'Brien"", 'Dr Charles Cardoso', 'Dr Phillip Keenan', 'Dr Joshua Graieg', 'Dr Mo Haggag', 'Dr Ellie Amiri']"
Connolly Dental,Connolly Shopping Centre,Connolly,WA,6027,893001122,Not Available,https://www.connollydental.com.au,"['Dr Eva Kierath', 'Dr Meike Stewart']"
Clarkson North Dental Care,Commercial Centre,Clarkson,WA,6030,893046624,893046515,https://www.clarksonnorthdentalcare.com/,"['Dr Julie Heyes', 'Dr Diana Simmons', 'Dr Keith Sutton', 'Dr Ying Tan']"
Keys Dental,Unit 16 / 61 Key Largo Drive,Clarkson,WA,6030,894077088,Not Available,https://www.keysdental.com.au/,"['Dr Sam Eldiry', 'Dr Rosalie Harrington', 'Dr Senthil Nathan', 'Dr Reza Shah Mansouri', 'Dr Ananth Kadekodi', 'Dr Linh Truong']"
Bayview Dental Claremont,1 / 324 Stirling Hwy,Claremont,WA,6010,892842995,892844986,http://www.bayviewdental.com.au,"['Dr Akhil Chandra', 'Dr Parsa Partovi']"
Ashton Avenue Dental,2 Ashton Avenue,Claremont,WA,6010,893856677,893855530,http://www.ashtonavenuedental.com.au,"['Dr Nishant Vaishnav', 'Dr Harshada Vaishnav']"
Doyles Dental,33 Spencer Street,Bunbury,WA,6230,897212045,897914362,http://www.mybunburydentist.com.au,['Dr Jigisha Shah']
The Tooth Clinic,261 South St,Beaconsfield,WA,6162,894309288,Not Available,http://www.toothclinic.com.au,"['Dr Adeline Teh', 'Dr Lani Aulsebrook']"
Superior Smiles,78 Stirling Hwy,Fremantle,WA,6159,892546510,Not Available,http://www.superiorsmiles.com.au,"['Dr Isaac Seguya', 'Dr Beth Davis', 'Dr Syed Fasial', 'Dr Rani Gopal']"
SKG Radiology Bunbury,55 Spencer Street,Bunbury,WA,6230,897223200,897215385,http://www.skg.com.au,not available
SKG Radiology Mandurah,160 Pinjarra Road,Mandurah,WA,6210,895824500,895348502,http://www.skg.com.au,not available
SKG Radiology Fremantle,201 High Street,Fremantle,WA,6160,894359500,894306693,http://www.skg.com.au,not available
SKG Radiology Rockingham,8B Leach Crescent,Rockingham,WA,6168,895270000,895925097,http://www.skg.com.au,not available
SKG Radiology Currambine,1 / 1 Hobsons Gate,Currambine,WA,6028,893017000,893040387,www.skg.com.au,not available
My Implant Dentist Warwick,8A / 639 Beach Road,Warwick,WA,6024,08 9361 5544,Not Available,http://www.myimplantdentist.com.au,"['Dr Zaheer Kadwa', 'Dr Kent Tan']"
Booragoon Family Dental Centre,Booragoon Family Dental Centre,Booragoon,WA,6154,862442288,Not Available,http://www.booragoonfamilydental.com.au,"['Dr Trevor Allen', 'Dr Lisa Staer']"
Dentist@Manning,Suite 11,Manning,WA,6152,861161700,Not Available,http://www.dentistatmanning.com.au/,['Dr Mohd Makhdoom']
Ivory Dental Care,20 Ivory way,Wellard,WA,6170,861186568,861186569,http://www.ivorydentalcare.com.au,"['Dr Santosh Kumari Devata', 'Dr Chandrashekar Siddappa']"
Forrestfield Dentist,Unit 2 / 384 Holmes Road,Forrestfield,WA,6058,863192381,863234699,http://www.forrestfielddentist.com,"['Dr Praveen Perera', 'Dr Shatha Saleh']"
Yokine Smiles Dental,Dog Swamp Shopping Centre,Yokine,WA,6060,894449444,Not Available,https://www.yokinesmilesdental.com.au,"['Dr Grishma Patel', 'Dr Felix Okomba', 'Dr Peter Sim']"
SKG Radiology Mandurah,160 Pinjarra Road,Mandurah,WA,6210,895824500,895348502,http://www.skg.com.au,not available
SKG Radiology Fremantle,201 High Street,Fremantle,WA,6160,894359500,894306693,http://www.skg.com.au,not available
SKG Radiology Rockingham,8B Leach Crescent,Rockingham,WA,6168,895270000,895925097,http://www.skg.com.au,not available
SKG Radiology Currambine,1 / 1 Hobsons Gate,Currambine,WA,6028,893017000,893040387,www.skg.com.au,not available
My Implant Dentist Warwick,8A / 639 Beach Road,Warwick,WA,6024,08 9361 5544,Not Available,http://www.myimplantdentist.com.au,"['Dr Zaheer Kadwa', 'Dr Kent Tan']"
Booragoon Family Dental Centre,Booragoon Family Dental Centre,Booragoon,WA,6154,862442288,Not Available,http://www.booragoonfamilydental.com.au,"['Dr Trevor Allen', 'Dr Lisa Staer']"
Dentist@Manning,Suite 11,Manning,WA,6152,861161700,Not Available,http://www.dentistatmanning.com.au/,['Dr Mohd Makhdoom']
Ivory Dental Care,20 Ivory way,Wellard,WA,6170,861186568,861186569,http://www.ivorydentalcare.com.au,"['Dr Santosh Kumari Devata', 'Dr Chandrashekar Siddappa']"
Forrestfield Dentist,Unit 2 / 384 Holmes Road,Forrestfield,WA,6058,863192381,863234699,http://www.forrestfielddentist.com,"['Dr Praveen Perera', 'Dr Shatha Saleh']"
Yokine Smiles Dental,Dog Swamp Shopping Centre,Yokine,WA,6060,894449444,Not Available,https://www.yokinesmilesdental.com.au,"['Dr Grishma Patel', 'Dr Felix Okomba', 'Dr Peter Sim']"
SKG Radiology Mandurah,160 Pinjarra Road,Mandurah,WA,6210,895824500,895348502,http://www.skg.com.au,not available
SKG Radiology Fremantle,201 High Street,Fremantle,WA,6160,894359500,894306693,http://www.skg.com.au,not available
SKG Radiology Rockingham,8B Leach Crescent,Rockingham,WA,6168,895270000,895925097,http://www.skg.com.au,not available
SKG Radiology Currambine,1 / 1 Hobsons Gate,Currambine,WA,6028,893017000,893040387,www.skg.com.au,not available
My Implant Dentist Warwick,8A / 639 Beach Road,Warwick,WA,6024,08 9361 5544,Not Available,http://www.myimplantdentist.com.au,"['Dr Zaheer Kadwa', 'Dr Kent Tan']"
Booragoon Family Dental Centre,Booragoon Family Dental Centre,Booragoon,WA,6154,862442288,Not Available,http://www.booragoonfamilydental.com.au,"['Dr Trevor Allen', 'Dr Lisa Staer']"
Dentist@Manning,Suite 11,Manning,WA,6152,861161700,Not Available,http://www.dentistatmanning.com.au/,['Dr Mohd Makhdoom']
Ivory Dental Care,20 Ivory way,Wellard,WA,6170,861186568,861186569,http://www.ivorydentalcare.com.au,"['Dr Santosh Kumari Devata', 'Dr Chandrashekar Siddappa']"
Forrestfield Dentist,Unit 2 / 384 Holmes Road,Forrestfield,WA,6058,863192381,863234699,http://www.forrestfielddentist.com,"['Dr Praveen Perera', 'Dr Shatha Saleh']"
Yokine Smiles Dental,Dog Swamp Shopping Centre,Yokine,WA,6060,894449444,Not Available,https://www.yokinesmilesdental.com.au,"['Dr Grishma Patel', 'Dr Felix Okomba', 'Dr Peter Sim']"
Grandis Dental,3 / 1 Fairywren Street,Grove,WA,6031,864042899,Not Available,https://www.grandisdental.com.au,['Dr Gretchen Priest']
Go Smiles Dental Studio,Westfield Carousel Shopping Centre,Cannington,WA,6107,861076750,Not Available,http://www.gosmilesdental.com.au,"['Dr Anjali Saini', 'Dr Gurpreet Kour', 'Dr Praveen Ayethepalle', 'Dr Rinu Williams', 'Dr Anand Ponnusamy', 'Dr Sonal Wadhwa']"
Bullsbrook Dental Centre,49 Kimberley Street,Bullsbrook,WA,6084,895200313,Not Available,http://www.bullsbrookdental.com.au,"['Dr Tanjum Sethi', 'Dr Rony Gandhi', 'Dr Grishma Patel', 'Dr Silas Prashant', 'Dr Vivek Alagathi', 'Dr Praveen Kumar Ayethepalle']"
Riseley Street Dental,178 Riseley Street,Booragoon,WA,6154,893162304,Not Available,https://riseleystreetdental.com.au/,"['Dr Gregory Yap', 'Dr Matthew Yoon']"
Manning Dental,11c Welwyn Avenue,Manning,WA,6152,894502073,Not Available,https://www.manningdental.com.au/,['Dr John Cobley']
Dentistry Plus Leederville,2 / 628 – 630 Newcastle Street,Leederville,WA,6007,861475099,Not Available,http://www.dentistryplus.com.au,['Dr Kabir Ally']
Midland Dental Centre,2 Old Great Northern Highway,Midland,WA,6056,892744195,Not Available,http://www.midlanddental.com.au,"['Dr Michelle Tien', 'Dr Matthew Ho', 'Dr Stephen Doyle', 'Dr Jacinta Peachey']"
Dr Teeth Dental Care,Midland Gate Shopping Centre,Midland,WA,6056,861157020,Not Available,https://www.drteethdental.com.au,"['Dr Ramandeep Kaur', 'Dr Anand Ponnusamy', 'Dr Gurpreet Kour', 'Dr Akanksha Dalwadi', 'Dr Preetinder Kaur Sidhu', 'Dr Praveen Ayethepalle', 'Dr Herath Praveen Perera', 'Dr Sonal Wadhwa']"
PK Dental Kalamunda,PK Dental Kalamunda- Inside Kalamunda GP Super Clinic,Kalamunda,WA,6076,863232979,Not Available,http://www.pkdental.com.au,"['Dr Peter Terzi', 'Dr Jessica Chong']"
Elysian Dental,Armadale Shopping City,Armadale,WA,6112,863962116,Not Available,https://elysiandental.com.au,"['Dr Emrik Graff', 'Dr Domonique Burgess']"
Grandis Dental,3 / 1 Fairywren Street,Grove,WA,6031,864042899,Not Available,https://www.grandisdental.com.au,['Dr Gretchen Priest']
Go Smiles Dental Studio,Westfield Carousel Shopping Centre,Cannington,WA,6107,861076750,Not Available,http://www.gosmilesdental.com.au,"['Dr Anjali Saini', 'Dr Gurpreet Kour', 'Dr Praveen Ayethepalle', 'Dr Rinu Williams', 'Dr Anand Ponnusamy', 'Dr Sonal Wadhwa']"
Bullsbrook Dental Centre,49 Kimberley Street,Bullsbrook,WA,6084,895200313,Not Available,http://www.bullsbrookdental.com.au,"['Dr Tanjum Sethi', 'Dr Rony Gandhi', 'Dr Grishma Patel', 'Dr Silas Prashant', 'Dr Vivek Alagathi', 'Dr Praveen Kumar Ayethepalle']"
Riseley Street Dental,178 Riseley Street,Booragoon,WA,6154,893162304,Not Available,https://riseleystreetdental.com.au/,"['Dr Gregory Yap', 'Dr Matthew Yoon']"
Manning Dental,11c Welwyn Avenue,Manning,WA,6152,894502073,Not Available,https://www.manningdental.com.au/,['Dr John Cobley']
Dentistry Plus Leederville,2 / 628 – 630 Newcastle Street,Leederville,WA,6007,861475099,Not Available,http://www.dentistryplus.com.au,['Dr Kabir Ally']
Midland Dental Centre,2 Old Great Northern Highway,Midland,WA,6056,892744195,Not Available,http://www.midlanddental.com.au,"['Dr Michelle Tien', 'Dr Matthew Ho', 'Dr Stephen Doyle', 'Dr Jacinta Peachey']"
Dr Teeth Dental Care,Midland Gate Shopping Centre,Midland,WA,6056,861157020,Not Available,https://www.drteethdental.com.au,"['Dr Ramandeep Kaur', 'Dr Anand Ponnusamy', 'Dr Gurpreet Kour', 'Dr Akanksha Dalwadi', 'Dr Preetinder Kaur Sidhu', 'Dr Praveen Ayethepalle', 'Dr Herath Praveen Perera', 'Dr Sonal Wadhwa']"
PK Dental Kalamunda,PK Dental Kalamunda- Inside Kalamunda GP Super Clinic,Kalamunda,WA,6076,863232979,Not Available,http://www.pkdental.com.au,"['Dr Peter Terzi', 'Dr Jessica Chong']"
Elysian Dental,Armadale Shopping City,Armadale,WA,6112,863962116,Not Available,https://elysiandental.com.au,"['Dr Emrik Graff', 'Dr Domonique Burgess']"
Grandis Dental,3 / 1 Fairywren Street,Grove,WA,6031,864042899,Not Available,https://www.grandisdental.com.au,['Dr Gretchen Priest']
Go Smiles Dental Studio,Westfield Carousel Shopping Centre,Cannington,WA,6107,861076750,Not Available,http://www.gosmilesdental.com.au,"['Dr Anjali Saini', 'Dr Gurpreet Kour', 'Dr Praveen Ayethepalle', 'Dr Rinu Williams', 'Dr Anand Ponnusamy', 'Dr Sonal Wadhwa']"
Bullsbrook Dental Centre,49 Kimberley Street,Bullsbrook,WA,6084,895200313,Not Available,http://www.bullsbrookdental.com.au,"['Dr Tanjum Sethi', 'Dr Rony Gandhi', 'Dr Grishma Patel', 'Dr Silas Prashant', 'Dr Vivek Alagathi', 'Dr Praveen Kumar Ayethepalle']"
Riseley Street Dental,178 Riseley Street,Booragoon,WA,6154,893162304,Not Available,https://riseleystreetdental.com.au/,"['Dr Gregory Yap', 'Dr Matthew Yoon']"
Manning Dental,11c Welwyn Avenue,Manning,WA,6152,894502073,Not Available,https://www.manningdental.com.au/,['Dr John Cobley']
Dentistry Plus Leederville,2 / 628 – 630 Newcastle Street,Leederville,WA,6007,861475099,Not Available,http://www.dentistryplus.com.au,['Dr Kabir Ally']
Midland Dental Centre,2 Old Great Northern Highway,Midland,WA,6056,892744195,Not Available,http://www.midlanddental.com.au,"['Dr Michelle Tien', 'Dr Matthew Ho', 'Dr Stephen Doyle', 'Dr Jacinta Peachey']"
Dr Teeth Dental Care,Midland Gate Shopping Centre,Midland,WA,6056,861157020,Not Available,https://www.drteethdental.com.au,"['Dr Ramandeep Kaur', 'Dr Anand Ponnusamy', 'Dr Gurpreet Kour', 'Dr Akanksha Dalwadi', 'Dr Preetinder Kaur Sidhu', 'Dr Praveen Ayethepalle', 'Dr Herath Praveen Perera', 'Dr Sonal Wadhwa']"
PK Dental Kalamunda,PK Dental Kalamunda- Inside Kalamunda GP Super Clinic,Kalamunda,WA,6076,863232979,Not Available,http://www.pkdental.com.au,"['Dr Peter Terzi', 'Dr Jessica Chong']"
Elysian Dental,Armadale Shopping City,Armadale,WA,6112,863962116,Not Available,https://elysiandental.com.au,"['Dr Emrik Graff', 'Dr Domonique Burgess']"
Guildford Dental Centre,Unit 6 / 9 Waterhall Road,Guildford,WA,6055,861040370,Not Available,https://www.guildforddentalcentre.com.au/,"['Dr Rony Gandhi', 'Dr Gaurav Khatri', 'Dr Naish Desai', 'Dr Hemanth Suthar']"
Ellen Stirling Dental - Ellenbrook,48 Ellen Stirling Parade,Ellenbrook,WA,6069,861921036,Not Available,https://ellenstirlingdental.com.au/,"['Dr Darren Cai', 'Dr Alan Quan']"
Enso Dental,Grange Building,Perth,WA,6006,863823399,Not Available,https://ensodental.com.au/,"['Dr Ryan Moldrich', 'Dr Michelle Crerie', 'Dr Pasteur Tran']"
South Calley Dental Centre,78 Calley Drive,Leeming,WA,6149,893289693,Not Available,http://www.singsingdental.com.au/,"['Dr Suzanne Leong', 'Dr Sing Sing Teoh', 'Dr Christina Lin', 'Dr Sally Law', 'Dr Paulina Lim']"
Dental Gigi,931 Albany Highway,Park,WA,6101,894703875,402836990,http://www.dentalgigi.com.au,"['Dr Helen Kerr', 'Dr Vish Selvaraj', 'Dr Alex Pham', 'Dr Shatha Saleh', 'Dr Sadha Shiv Gupta', 'Dr David McConnell', 'Dr Benjamin Zhang']"
Jupiter Dental Clinic Byford,not available,not available,not available,not available,not available,not available,http://www.jupiterhealthservices.com.au,['Dr Haytham El-Sakka']
Amore Dental,Unit 3 / 30 Marquis Street,Park,WA,6164,894100777,894101777,https://www.amoredental.com.au,"['Dr Vincenzo Figliomeni', 'Dr Angela Pathmanathan']"
Mia Dental Centre,Drovers Market Place,Wanneroo,WA,6065,892060058,Not Available,https://www.miadentalcentre.com.au/,"['Dr Tisa Kolarov', 'Dr Suliman Siddiqui', 'Dr Tanya Jordaan']"
DB Dental Perth City,3-4 Kings Square,Perth,WA,6000,1300483384,1300483384,http://www.dbdental.com.au,"['Dr Lisa Tong', 'Dr Jonathan Lee', 'Dr John Graham', 'Dr Laura Hall', 'Dr Suhail Wardak']"
Dental Circle,2 West Rd,Bassendean,WA,6054,893793818,Not Available,https://www.dentalcircle.com.au,"['Dr Nafiz Chowdhury', ""Dr Ol'ga Knurova"", 'Dr William Reidy']"
